"","y","x"
"5383",-12.617061,-2.293998
"5384",-15.278837,17.538462
"5390",-6.9908323,-27.713144
"5391",-38.319542,6.6507339
"5392",-24.697447,34.377995
"5393",-14.689961,-26.400959
"5395",-2.5249572,7.587254
"5400",-1.9068837,19.415384
"5402",-2.2215753,27.142632
"5403",32.886192,-39.032944
"5409",-16.021561,11.701811
"5413",26.717234,81.772491
"5414",-12.481853,-29.254129
"5418",-21.172274,5.4198027
"5421",60.216583,28.453875
"5424",-19.69713,-4.0178032
"5426",63.379318,18.484951
"5428",-4.8186393,45.631123
"5439",-43.952099,-38.328529
"5447",-5.9294882,11.345089
"5451",20.129412,44.945099
"5456",34.453228,40.846016
"5459",23.193718,-6.7224383
"5460",16.065861,63.575859
"5474",-11.647883,8.0792217
"5483",-0.43239892,-12.059858
"5487",-4.4852552,-9.8552885
"5489",8.3741426,20.38937
"5491",6.3994021,44.654724
"5493",27.544235,48.932301
"5503",-45.634094,-56.043571
"5506",11.199251,15.066934
"5512",-20.701168,-6.0552597
"5527",0.54987371,28.097933
"5550",11.992964,-3.6951005
"5574",-24.885395,-21.783569
"5577",-40.811573,-4.6717615
"5581",-16.459978,-36.555481
"5582",2.0899029,-18.42407
"5583",17.380762,18.324331
"5584",13.853031,2.4663062
"5586",16.655741,17.902994
"5592",-28.511726,-14.245907
"5595",-0.29970109,6.3959064
"5596",-1.1711836,-16.615591
"5603",7.557538,-9.0214643
"5604",-1.2339205,15.240442
"5606",14.758337,39.492908
"5611",17.590603,-0.17193854
"5614",12.02346,3.5781531
"5616",-14.67185,2.3989677
"5620",9.4664249,-10.819554
"5621",30.667601,15.588096
"5630",28.777643,75.541054
"5631",-51.467102,-16.601013
"5634",-38.501392,11.104342
"5635",-4.7619076,3.6815195
"5637",-16.984165,14.77313
"5639",18.414661,13.780758
"5640",-28.943993,-2.7092993
"5641",-14.263773,-12.550604
"5648",-3.2490253,26.718849
"5649",4.0499301,-6.3197045
"5652",21.192986,8.4718552
"5653",4.9250512,20.20546
"5655",-31.477625,12.543022
"5657",-5.1433535,1.5892774
"5660",-27.790266,9.3037214
"5661",20.044666,-1.1231422
"5662",-2.9791684,3.5315752
"5666",-17.803314,-7.3059378
"5669",-21.332001,-41.871098
"5674",11.919686,-0.33181012
"5676",-17.704409,6.5212369
"5677",-13.857306,14.088821
"5679",-4.8820348,-49.523342
"5680",1.4785737,-42.082584
"5682",8.1196098,19.739357
"5684",-25.036922,-11.440489
"5685",-17.756828,3.7803559
"5687",-34.536873,2.1037431
"5688",-24.763256,-18.040201
"5690",-35.290058,-29.723415
"5691",-10.977575,14.394533
"5695",29.33762,71.964813
"5697",-3.2784879,11.539308
"5698",8.1435471,-16.614174
"5699",12.817511,14.084312
"5705",-5.8652582,-13.776863
"5713",-0.098344684,-4.3053956
"5714",-5.7228656,31.465664
"5718",0.7133007,6.2977881
"5719",0.87367296,10.445252
"5726",-24.62447,1.3496369
"5727",0.52205324,75.734245
"5729",12.103263,9.737566
"5734",-17.47064,6.6965671
"5741",-13.783574,-9.4158058
"5744",-40.012119,8.9615431
"5745",12.104118,-2.8516741
"5747",-45.369072,-10.248009
"5748",-7.6825471,3.2133341
"5750",15.638769,-8.1446762
"5752",5.8720737,0.011003017
"5755",9.7183418,-41.526237
"5756",3.4038842,-10.49158
"5758",-38.969212,-28.165514
"5766",39.083199,-8.5687876
"5769",-28.01446,-34.423897
"5771",-30.387207,-22.980768
"5772",7.2589726,-15.081549
"5777",-7.9594226,3.7603855
"5780",2.5634022,17.514053
"5781",-2.2737086,-7.6005878
"5782",-0.57644844,-25.098249
"5783",-74.434517,-9.8945913
"5786",24.962225,15.545991
"5788",-10.463274,12.230214
"5789",-61.652946,-7.9038887
