"z1","z2","x","y"
2.6,2.2,-0.55,-1.403
4.2,3.6,0.85,-0.3211
4.1,4,1.25,-0.3685
3.3,2.7,-0.0499999999999998,-1.3479
3.5,3.2,0.45,-0.3211
3,1.3,-1.45,-1.0485
4,3.7,0.95,0.6031
3.7,4.7,0.95,-1.0933
3.7,1.3,-1.45,0.2417
4.7,5,1.95,0.9594
6.1,4.7,1.95,1.6272
2.1,2,-0.75,-1.5523
2,2.4,-0.75,-1.6
3.8,3.1,0.35,-0.1266
1.9,1.3,-1.45,-1.4115
2.5,1.6,-1.15,-2.3368
2.1,2.6,-0.65,-1.2284
3.3,3.2,0.45,-0.5102
3.1,1.1,-1.65,-1.0038
3.1,3.4,0.35,-0.462
3.5,1.1,-1.65,-0.4416
4.2,5.5,1.45,-0.9145
4.6,3.7,0.95,0.2983
1.9,2.2,-0.85,-0.7354
4.7,2.7,-0.0499999999999998,-0.1266
3.2,2.8,0.0499999999999998,-0.8251
3,2.7,-0.0499999999999998,-1.5523
3.4,3.4,0.65,-1.0933
3.4,1.3,-1.45,-1.5049
4.9,4.7,1.95,0.5388
2.6,2.8,-0.15,-1.7968
4.2,2.7,-0.0499999999999998,-0.0256
2,0.6,-2.15,-2.1105
3.3,2.7,-0.0499999999999998,-1.458
4.4,2.6,-0.15,0.6694
2.6,2.4,-0.35,-1.458
4.1,1.8,-0.95,0.0575
3,2.2,-0.55,-0.5998
3.4,3.5,0.65,-0.462
2.7,2.2,-0.55,-0.6414
3.5,2.5,-0.25,-0.3211
2.1,1.7,-1.05,-2.553
4.5,2.6,-0.15,-0.7354
3.1,2.2,-0.55,-1.3194
3.3,1.6,-1.15,0.0785
4.1,3.9,1.15,-0.4286
2.3,3,-0.45,-1.6972
3.9,4.3,1.15,-1.2284
2.8,3.5,0.0499999999999998,-0.1761
4,2,-0.75,-0.5998
3.7,3.6,0.85,-0.4154
3,3.5,0.25,-1.2284
3.2,2.2,-0.55,-0.4154
2.6,2,-0.75,-2.0011
3.5,2,-0.75,-0.1435
3.4,3.4,0.65,-0.6904
2.4,2,-0.75,-1.892
3.7,2.8,0.0499999999999998,-1.2738
3.9,3,0.25,-0.6452
3,3.5,0.25,-0.5998
5,4.1,1.35,-0.3211
3,2.6,-0.15,-0.8293
3,0.9,-1.85,-1.6572
3.9,3.1,0.35,-0.1761
4.5,3.6,0.85,0.9594
2.2,1.1,-1.65,-1.9999
3.3,2.2,-0.55,-0.9145
4.7,3.5,0.75,-0.1266
3,2.4,-0.35,0.9972
2.6,0.9,-1.85,-1.6972
3.4,2.7,-0.0499999999999998,-0.1761
2.3,1.8,-0.95,-2.2231
2.7,3.4,-0.0499999999999998,-0.9285
4.4,2.4,-0.35,0.2417
2.9,3.7,0.15,-0.8698
2,2.2,-0.75,-0.7678
4.2,4,1.25,-1.2431
3.2,1.8,-0.95,-0.7164
2.4,3.6,-0.35,-1.4115
3.4,3.1,0.35,-0.7354
5.8,6,3.05,1.2427
3.5,1.8,-0.95,-0.2733
3.1,2.7,-0.0499999999999998,-1.4115
3.1,2.8,0.0499999999999998,-1.3194
3.4,2,-0.75,-0.6904
3.9,3.7,0.95,-0.2996
2.8,3.7,0.0499999999999998,-1.1832
2.5,3,-0.25,-0.462
2.6,1.8,-0.95,-0.8251
3.8,1.3,-1.45,-0.4154
4,2,-0.75,0.7379
4,2.6,-0.15,0.5388
3.7,2.4,-0.35,0.9594
3.1,3.7,0.35,-0.9591
3.9,2.7,-0.0499999999999998,0.3562
4.1,3.2,0.45,-0.0765
2.4,2.6,-0.35,-0.6414
3.5,3.5,0.75,-0.8251
2.9,3.1,0.15,-0.1761
5.5,2,-0.75,0.6031
3.8,3.1,0.35,-1.1382
2.7,2.2,-0.55,-1.0081
3.8,3.6,0.85,-0.462
3,1.2,-1.55,-1.2738
2.9,3.3,0.15,-0.8427
3.2,2.6,-0.15,-0.3685
2.7,2.4,-0.35,-0.9591
2.9,3.1,0.15,-0.7803
4.9,3.6,0.85,0.3184
3.4,1.3,-1.45,-0.225
3.6,1.8,-0.95,-0.6904
2.8,2,-0.75,-2.3368
3.2,2,-0.75,-0.5541
2.5,1.8,-0.95,-1.6972
3.5,3,0.25,-0.8698
4.3,3,0.25,-0.4594
2.4,2.6,-0.35,-1.7968
2.2,2.7,-0.55,-0.7354
4.4,3.6,0.85,0.1047
7.7,5.3,2.55,2.2524
2.7,2.4,-0.35,-1.0038
3.4,2.6,-0.15,-0.6904
4.7,3.1,0.35,0.2983
2.9,1.6,-1.15,-1.0662
3.6,2.2,-0.55,-1.7467
3.9,2.7,-0.0499999999999998,0.026
2.1,0.9,-1.85,-1.6972
2.3,2.8,-0.45,-1.2284
3.1,3.1,0.35,-0.7803
2.1,0.9,-1.85,0.6008
2.2,2.4,-0.55,-3.0753
3.7,4.7,0.95,-1.0602
4.7,3.5,0.75,0.2983
3.5,3.4,0.65,-0.5541
2.4,0.9,-1.85,-0.8898
4.7,3.5,0.75,-0.1266
4.4,2.8,0.0499999999999998,-0.5998
2.3,2.4,-0.45,-1.6484
3.6,3,0.25,-0.3211
3.6,3.4,0.65,-1.0933
3.2,2.6,-0.15,-1.1832
4.2,3.5,0.75,0.1319
3.2,0.4,-2.35,-1.7737
5.2,4.6,1.85,0.6749
2.8,3.1,0.0499999999999998,-1.6
4.5,5,1.75,-1.6972
4.9,4.7,1.95,0.9343
3,2.7,-0.0499999999999998,-0.6452
3.4,2.4,-0.35,-0.9591
4.2,3.6,0.85,-0.0256
2.5,3.3,-0.25,-1.1964
3.1,2.2,-0.55,-0.7354
3.9,1.3,-1.45,-0.462
3.3,1.6,-1.15,-1.0933
4.2,3.1,0.35,0.6031
3.3,2.7,-0.0499999999999998,-0.7354
3.2,3.8,0.45,-0.3211
3.2,3.1,0.35,-1.3653
2.5,2.8,-0.25,-1.1382
4.2,4.7,1.45,0.4763
2.4,3.4,-0.35,-1.0038
5.5,4.5,1.75,0.8089
2.9,2.2,-0.55,-1.1382
3.5,3.6,0.75,-0.8251
4.2,4.7,1.45,-0.5998
