"x","y"
0.1048695,0.580962
0.1392521,0.4610585
-0.0736019,0.5434108
0.0868215,0.5845801
0.3993583,0.5802864
0.1680772,0.6243524
0.2515626,0.487293
0.2675027,0.5709645
0.1527547,0.5955014
0.2023913,0.6304118
0.2378197,0.7418852
0.4879997,0.7724428
0.5448855,0.7140294
0.4858052,0.735451
0.4859995,0.5805223
0.0329448,0.4917794
-0.01378,0.4095086
-0.1809827,0.532891
0.065782,0.4987839
0.2653162,0.5621175
0.1300805,0.5405338
0.0870581,0.4674368
0.1981237,0.6506813
0.3098311,0.6992224
0.3984448,0.5337442
0.0919637,0.6738455
0.3476909,0.6361817
0.2723633,0.5970501
0.0001129,0.5159084
0.0664869,0.6100882
0.0067007,0.5191929
-0.0532753,0.4000038
-0.1999924,0.5622256
0.1244512,0.5491055
0.2779323,0.5310924
0.1160787,0.5399848
0.1154299,0.5456406
0.3369878,0.5463182
0.1118887,0.5813486
0.1811168,0.4646035
0.0540735,0.6964567
0.3929133,0.6649283
0.3298567,0.5210433
0.2689801,0.7134922
0.432752,0.7131965
-0.1176281,0.420541
-0.1483352,0.3112736
-0.3723379,0.5090555
0.018111,0.4795679
0.0362127,0.509577
0.0191541,0.4732815
-0.0407918,0.4262733
-0.0800359,0.3705786
-0.2395367,0.4163632
-0.1672735,0.374229
-0.407879,0.4645901
-0.0708199,0.2706714
-0.4471072,0.234377
-0.5064123,0.376289
-0.2282809,0.2987376
-0.0366212,0.4565508
-0.0550076,0.3807449
-0.2385101,0.5379788
0.0759575,0.5509939
0.3460447,0.5906281
0.1812563,0.5631508
0.1263015,0.547451
-0.0243586,0.327493
-0.3376303,0.5231909
0.0463818,0.5036535
-0.0884038,0.3910945
-0.217811,0.2636131
-0.4727738,0.4724757
-0.0667289,0.5204946
0.061321,0.498826
0.1749363,0.4767974
-0.0121908,0.3771228
-0.2457544,0.5106992
0.2730199,0.5661947
0.1366028,0.6419783
0.2839566,0.5895807
-0.2796621,0.3582453
-0.2835093,0.3327058
-0.3301391,0.256297
-0.3237908,0.4892648
-0.006968,0.3959298
-0.0045067,0.4855314
-0.0200952,0.3854964
-0.2290072,0.5603777
0.1207553,0.5397531
0.2499667,0.5417498
0.1004093,0.5197377
0.0489676,0.4974656
-0.0010651,0.5037798
0.0515417,0.566231
0.1324619,0.5916184
-0.0036169,0.4262345
-0.147531,0.3580324
-0.256727,0.3151485
-0.2704122,0.5315836
0.0941815,0.6321753
0.2643505,0.6019666
-0.0378509,0.5531536
0.1063073,0.6032729
0.2400829,0.5676211
0.1352422,0.5570587
0.1141174,0.6420932
