"y","x","t"
0.6088377,30,0
0.9242512,21,0
-0.8841197,-43,0
0.2934241,27,1
0.4406171,24,0
-1.094395,-84,1
-1.325699,-199,0
2.14385,62,0
0.0200657,39,0
1.071444,30,0
0.4406171,36,0
1.071444,76,0
0.1462311,-1,1
0.6929479,57,0
0.0831484,6,0
0.2303414,45,0
-0.3584305,-4,1
-0.5266511,-32,1
0.7980857,90,0
-0.2953478,-8,0
1.576106,42,0
-2.103719,-27,0
-0.3584305,-1,0
0.0200657,39,0
-0.7158992,-19,0
-2.461187,-15,0
-0.043017,-32,1
1.28172,49,0
0.1462311,33,0
-0.1691824,42,0
-0.043017,21,0
1.071444,62,0
1.071444,36,0
0.4406171,9,0
-3.070987,-84,1
-0.5687062,-11,1
1.28172,76,0
-0.7158992,15,0
-0.9892576,-23,0
1.28172,62,0
0.5247274,33,1
-0.3584305,12,0
0.6929479,39,0
0.3565068,24,0
0.3565068,18,0
0.6929479,45,0
0.7980857,39,0
1.071444,30,0
0.3565068,30,0
-1.641112,-37,1
0.0831484,36,0
-0.2322651,-19,1
-0.6317889,-32,0
-0.3584305,15,0
0.4406171,57,0
-0.1060997,12,0
-1.199533,-50,1
-0.043017,-1,0
0.7980857,49,0
-0.4215132,-4,1
-0.8841197,-1,0
0.6929479,49,0
-0.5687062,2,0
0.1462311,18,0
0.0831484,-1,0
-0.9892576,-27,1
0.0831484,36,0
0.9242512,45,0
0.9242512,30,1
0.1462311,18,0
-1.472892,-43,1
3.216256,62,0
-0.8000095,-27,1
-0.8000095,-27,0
0.3565068,27,0
-0.9892576,-23,1
1.576106,90,0
-0.9892576,15,1
-0.2322651,18,0
0.9242512,62,0
0.0831484,24,0
1.071444,24,0
0.5247274,9,0
1.28172,68,0
3.216256,168,0
-0.1691824,24,0
0.0200657,18,0
-0.6317889,15,0
1.28172,52,0
2.14385,76,0
-1.851388,-37,0
0.6929479,49,0
-1.998581,-152,1
0.6929479,62,0
0.9242512,57,0
0.1462311,18,0
0.7980857,27,0
-1.641112,-43,1
