"y","x","t"
0.9183766,45,0
1.1117,21,0
-1.401507,-143,0
-0.1034769,27,1
0.4212587,39,0
-1.622448,-7,1
-1.042477,15,0
1.664054,74,0
0.6422,65,0
0.9183766,33,0
0.9183766,61,0
1.664054,93,0
-0.1034769,18,1
1.332642,93,0
0.227935,42,0
0.7802883,69,0
-0.8767715,15,1
-0.2968006,27,1
1.332642,121,0
-0.0482416,27,0
0.4212587,45,0
-2.450978,-13,0
0.310788,15,0
1.1117,54,0
-0.7110655,27,0
-1.401507,3,0
-0.1034769,-13,1
0.7802883,74,0
-0.5729772,48,0
-0.0482416,69,0
-0.7110655,45,0
1.1117,54,0
0.7802883,65,0
-0.6558302,39,0
-1.208183,-91,1
-1.12533,15,1
1.332642,79,0
-0.7110655,48,0
-0.6558302,7,0
1.664054,79,0
-0.2691829,-13,1
0.310788,57,0
0.4212587,36,0
0.0346114,42,0
0.4212587,48,0
0.7802883,48,0
0.9183766,54,0
0.5317293,33,0
1.664054,54,0
-0.7939185,-2,1
0.0346114,39,0
-0.1034769,27,1
-1.622448,36,0
-1.042477,33,0
1.332642,93,0
0.6422,57,0
-0.7939185,-7,1
-0.3520359,39,0
1.332642,54,0
-1.622448,-2,1
0.6422,36,0
0.310788,69,0
-0.3520359,24,0
-0.8767715,18,0
-0.1863299,24,0
-1.042477,7,1
2.244025,85,0
0.5317293,51,0
0.227935,74,1
0.310788,48,0
-0.1863299,33,1
0.7802883,74,0
-0.7110655,-13,1
-0.2691829,48,0
0.1174644,36,0
-2.036713,24,1
1.332642,172,0
0.1174644,36,1
0.4212587,33,0
4.011555,121,0
-0.1863299,61,0
0.5317293,54,0
0.0346114,24,0
0.4212587,54,0
1.664054,79,0
0.227935,61,0
-0.0482416,18,0
0.0346114,33,0
0.310788,65,0
0.9183766,45,0
-2.036713,-2,0
0.310788,57,0
-1.760537,-28,1
0.4212587,79,0
0.7802883,65,0
0.227935,57,0
-0.1863299,27,0
-1.401507,7,1
-0.7110655,11,1
1.1117,48,1
-0.1863299,33,0
0.227935,45,0
-0.7110655,-13,1
0.0346114,18,1
0.0346114,45,0
-0.6558302,24,0
1.664054,79,0
-4.660391,-19,0
-0.4072712,24,0
0.6422,79,0
-0.4072712,24,1
-2.091949,-91,1
0.310788,65,0
-0.0482416,18,0
-0.7110655,15,0
0.9183766,65,0
-0.8491538,-7,1
0.6422,30,0
-1.12533,-7,1
2.244025,57,0
-0.3520359,57,0
0.4212587,45,0
0.5317293,42,0
0.5317293,45,0
0.1174644,42,0
0.4212587,54,0
-0.4901242,3,1
-1.871007,-2,1
1.1117,85,0
-0.3520359,24,0
0.0346114,11,1
-0.9596245,-7,0
0.1174644,39,0
0.5317293,79,0
0.0346114,45,0
0.4212587,48,1
-0.7110655,36,0
2.244025,57,0
0.310788,24,0
1.332642,79,0
-0.7110655,-13,1
-0.0482416,21,0
0.310788,69,1
-1.208183,-2,1
-1.511978,11,1
-1.208183,-28,1
-0.4072712,3,1
-0.1034769,42,0
0.310788,48,0
-0.0482416,54,0
1.1117,61,0
-0.8767715,15,0
-1.208183,-2,0
-0.3520359,30,0
0.9183766,65,0
-0.1034769,30,0
0.9183766,69,0
0.4212587,51,0
-0.7110655,-7,1
1.332642,79,0
-0.3520359,45,0
-0.4901242,24,0
0.7802883,48,0
4.011555,85,0
0.6422,54,0
1.332642,57,0
-0.7110655,7,1
-0.1034769,11,1
-3.307126,-39,0
0.310788,45,0
0.6422,45,0
0.7802883,65,0
-0.2691829,21,0
0.6422,45,0
-2.230037,3,1
0.0346114,33,1
-0.1863299,36,0
-0.4072712,-2,1
-0.8767715,-13,1
0.6422,48,0
0.5317293,51,0
0.5317293,48,0
0.5317293,61,0
0.0346114,61,0
-0.3520359,18,0
-0.6558302,27,0
-0.9596245,15,1
0.6422,39,0
-0.8491538,-143,1
1.664054,74,0
0.5317293,54,0
-1.12533,-7,0
-1.401507,-55,1
0.227935,45,0
-0.2691829,36,1
-0.6558302,51,0
-0.7939185,-7,0
0.4212587,51,0
-1.622448,-13,1
-1.511978,-7,1
0.7802883,39,0
-0.8767715,-28,0
-0.7939185,-7,0
-0.0482416,30,0
0.4212587,65,0
-0.4901242,-19,1
-0.0482416,54,0
0.0346114,42,0
0.5317293,65,0
-0.1034769,51,1
1.664054,93,0
-0.2691829,15,1
0.7802883,45,0
-0.1034769,15,0
0.227935,74,0
-0.6558302,-2,1
0.0346114,30,0
-1.511978,-2,1
0.6422,57,0
-0.6558302,18,0
0.4212587,18,0
0.227935,39,0
1.664054,79,0
-0.7939185,11,0
-0.4072712,51,0
1.1117,69,0
0.0346114,45,1
2.244025,93,0
-0.4901242,45,0
0.9183766,65,0
0.9183766,51,0
-0.3520359,42,0
-0.7110655,-143,0
-1.511978,-13,0
0.0346114,39,0
-0.4072712,11,0
0.4212587,36,0
-0.3520359,33,0
-0.4901242,42,0
0.4212587,65,0
-0.4901242,7,0
2.244025,65,0
4.011555,121,0
-0.7110655,45,0
0.0346114,30,1
-0.7663009,-39,0
-0.1863299,24,0
0.310788,65,0
0.9183766,85,0
-0.7110655,18,0
-0.5729772,30,0
-0.1863299,45,0
-0.6558302,36,0
1.1117,69,0
-0.1587123,-55,1
-0.1034769,65,0
1.1117,61,0
-0.4072712,36,0
0.227935,7,0
-0.4072712,21,0
-1.401507,51,1
0.1174644,51,1
-0.9596245,-7,1
-0.4072712,42,0
-0.8767715,15,0
0.227935,30,0
-1.12533,-28,0
1.664054,42,0
-1.208183,-2,1
0.9183766,30,0
-0.1863299,30,0
0.9183766,57,0
0.310788,27,0
-0.7939185,30,1
0.4212587,51,0
-0.1034769,15,0
-0.0482416,33,0
-1.042477,-19,0
0.0346114,45,0
-0.0482416,42,1
-0.4072712,30,0
1.1117,65,0
0.7802883,79,0
0.0346114,48,0
-0.8767715,30,1
-1.871007,-143,0
0.310788,51,0
-0.1034769,11,1
0.7802883,69,0
-0.4901242,18,0
0.4212587,54,0
0.0346114,65,0
-1.622448,15,0
-0.9596245,21,0
-0.1863299,15,1
-0.5729772,27,0
0.6422,61,0
0.4212587,48,0
-0.1587123,33,1
0.310788,33,0
-0.3796535,36,1
-0.7110655,30,0
0.7802883,42,0
1.1117,74,0
0.5317293,48,0
0.7802883,57,0
1.1117,85,0
0.6422,48,0
0.9183766,69,0
-0.7110655,3,0
0.0346114,18,0
-0.0482416,42,0
-0.1034769,54,0
0.1174644,51,0
-1.042477,11,1
1.332642,74,0
-1.208183,42,0
-0.3520359,15,0
1.332642,57,0
0.7802883,61,0
0.310788,51,0
1.1117,51,0
-0.5729772,36,0
-0.4072712,21,0
0.310788,36,0
1.664054,61,0
1.1117,39,0
-0.8767715,42,0
-0.6558302,39,0
1.1117,69,0
0.227935,51,0
0.6422,57,0
-0.2968006,7,0
0.310788,39,0
-1.732919,-55,0
-2.036713,7,0
-0.9596245,-7,0
-0.1034769,57,0
0.6422,24,0
-0.1863299,39,1
-0.7110655,3,0
1.1117,85,0
0.7802883,79,0
-0.3520359,3,0
0.310788,36,0
-0.7110655,30,0
1.332642,74,1
-0.9596245,-2,1
-2.036713,-143,1
-0.4901242,39,1
0.227935,54,0
0.6422,45,1
-0.5729772,21,0
1.664054,93,0
0.4212587,48,0
-0.2691829,21,1
4.011555,93,0
-0.4072712,48,0
-1.208183,7,1
-0.5729772,39,0
-0.7110655,11,0
-0.0482416,65,0
-0.1863299,21,0
0.5317293,45,0
0.6422,69,0
-0.9596245,27,1
0.5317293,48,0
-0.8767715,11,0
1.1117,69,0
1.1117,45,0
-0.6558302,45,0
-1.12533,-13,1
-0.1863299,33,0
-0.3520359,74,0
-0.5729772,65,0
0.227935,21,0
