"y","x","t"
0.9183766,30,0
1.1117,21,0
-1.401507,-143,0
-0.1034769,27,1
0.4212587,24,0
-1.622448,-84,1
-1.042477,-199,0
1.664054,62,0
0.6422,39,0
0.9183766,30,0
0.9183766,36,0
1.664054,76,0
-0.1034769,-1,1
1.332642,57,0
0.227935,6,0
0.7802883,45,0
-0.8767715,-4,1
-0.2968006,-32,1
1.332642,90,0
-0.0482416,-8,0
0.4212587,42,0
-2.450978,-27,0
0.310788,-1,0
1.1117,39,0
-0.7110655,-19,0
-1.401507,-15,0
-0.1034769,-32,1
0.7802883,49,0
-0.5729772,33,0
-0.0482416,42,0
-0.7110655,21,0
1.1117,54,0
0.7802883,36,0
-0.6558302,9,0
-1.208183,-91,1
-1.12533,-11,1
1.332642,76,0
-0.7110655,15,0
-0.6558302,-23,0
1.664054,62,0
-0.2691829,-13,1
0.310788,12,0
0.4212587,36,0
0.0346114,24,0
0.4212587,18,0
0.7802883,45,0
0.9183766,39,0
0.5317293,30,0
1.664054,30,0
-0.7939185,-37,1
0.0346114,36,0
-0.1034769,-19,1
-1.622448,-32,0
-1.042477,15,0
1.332642,57,0
0.6422,12,0
-0.7939185,-50,1
-0.3520359,-1,0
1.332642,49,0
-1.622448,-4,1
0.6422,-1,0
0.310788,49,0
-0.3520359,2,0
-0.8767715,18,0
-0.1863299,-1,0
-1.042477,-27,1
2.244025,36,0
0.5317293,45,0
0.227935,30,1
0.310788,18,0
-0.1863299,-43,1
0.7802883,62,0
-0.7110655,-27,1
-0.2691829,-27,0
0.1174644,27,0
-2.036713,-23,1
1.332642,90,0
0.1174644,15,1
0.4212587,18,0
4.011555,62,0
-0.1863299,24,0
0.5317293,24,0
0.0346114,9,0
0.4212587,54,0
1.664054,79,0
0.227935,24,0
-0.0482416,18,0
0.0346114,15,0
0.310788,52,0
0.9183766,45,0
-2.036713,-37,0
0.310788,49,0
-1.760537,-152,1
0.4212587,62,0
0.7802883,57,0
0.227935,18,0
-0.1863299,27,0
-1.401507,-43,1
-0.7110655,-37,1
1.1117,6,1
-0.1863299,30,0
0.227935,36,0
-0.7110655,-23,1
0.0346114,-15,1
0.0346114,21,0
-0.6558302,12,0
1.664054,76,0
-4.660391,-27,0
-0.4072712,-32,0
0.6422,57,0
-0.4072712,-11,1
-2.091949,-199,1
0.310788,49,0
-0.0482416,18,0
-0.7110655,2,0
0.9183766,30,0
-0.8491538,-152,1
0.6422,30,0
-1.12533,-37,1
2.244025,57,0
-0.3520359,33,0
0.4212587,45,0
0.5317293,27,0
0.5317293,33,0
0.1174644,36,0
0.4212587,18,0
-0.4901242,-27,1
-1.871007,-43,1
1.1117,49,0
-0.3520359,18,0
0.0346114,-11,1
-0.9596245,-7,0
0.1174644,12,0
0.5317293,36,0
0.0346114,21,0
0.4212587,36,1
-0.7110655,21,0
2.244025,52,0
0.310788,12,0
1.332642,68,0
-0.7110655,-19,1
-0.0482416,21,0
0.310788,-4,1
-1.208183,-15,1
-1.511978,-23,1
-1.208183,-28,1
-0.4072712,-8,1
-0.1034769,24,0
0.310788,33,0
-0.0482416,36,0
1.1117,57,0
-0.8767715,12,0
-1.208183,-2,0
-0.3520359,12,0
0.9183766,36,0
-0.1034769,18,0
0.9183766,49,0
0.4212587,51,0
-0.7110655,-50,1
1.332642,76,0
-0.3520359,33,0
-0.4901242,-43,0
0.7802883,30,0
4.011555,85,0
0.6422,45,0
1.332642,21,0
-0.7110655,-27,1
-0.1034769,-1,1
-3.307126,-43,0
0.310788,45,0
0.6422,18,0
0.7802883,36,0
-0.2691829,9,0
0.6422,33,0
-2.230037,-59,1
0.0346114,33,1
-0.1863299,33,0
-0.4072712,-2,1
-0.8767715,-105,1
0.6422,33,0
0.5317293,15,0
0.5317293,48,0
0.5317293,49,0
0.0346114,42,0
-0.3520359,-1,0
-0.6558302,27,0
-0.9596245,-50,1
0.6422,39,0
-0.8491538,-143,1
1.664054,57,0
0.5317293,18,0
-1.12533,-15,0
-1.401507,-55,1
0.227935,-11,0
-0.2691829,-8,1
-0.6558302,21,0
-0.7939185,-15,0
0.4212587,39,0
-1.622448,-27,1
-1.511978,-7,1
0.7802883,21,0
-0.8767715,-28,0
-0.7939185,-7,0
-0.0482416,30,0
0.4212587,62,0
-0.4901242,-19,1
-0.0482416,30,0
0.0346114,36,0
0.5317293,45,0
-0.1034769,-11,1
1.664054,90,0
-0.2691829,-19,1
0.7802883,45,0
-0.1034769,-4,0
0.227935,36,0
-0.6558302,-15,1
0.0346114,30,0
-1.511978,-11,1
0.6422,21,0
-0.6558302,18,0
0.4212587,-1,0
0.227935,33,0
1.664054,39,0
-0.7939185,-11,0
-0.4072712,51,0
1.1117,57,0
0.0346114,24,1
2.244025,68,0
-0.4901242,2,0
0.9183766,65,0
0.9183766,33,0
-0.3520359,24,0
-0.7110655,-143,0
-1.511978,-84,0
0.0346114,12,0
-0.4072712,6,0
0.4212587,36,0
-0.3520359,12,0
-0.4901242,2,0
0.4212587,9,0
-0.4901242,-4,0
2.244025,57,0
4.011555,90,0
-0.7110655,18,0
0.0346114,-15,1
-0.7663009,-39,0
-0.1863299,24,0
0.310788,30,0
0.9183766,36,0
-0.7110655,18,0
-0.5729772,30,0
-0.1863299,-8,0
-0.6558302,36,0
1.1117,6,0
-0.1587123,-84,1
-0.1034769,39,0
1.1117,18,0
-0.4072712,12,0
0.227935,7,0
-0.4072712,9,0
-1.401507,24,1
0.1174644,18,1
-0.9596245,-7,1
-0.4072712,2,0
-0.8767715,15,0
0.227935,15,0
-1.12533,-37,0
1.664054,15,0
-1.208183,-43,1
0.9183766,30,0
-0.1863299,27,0
0.9183766,57,0
0.310788,24,0
-0.7939185,-27,1
0.4212587,45,0
-0.1034769,12,0
-0.0482416,12,0
