right,difdemshare,demsharenext,demwinnext,demshareprev,demwinprev,demofficeexp,othofficeexp,demelectexp,othelectexp,y1,y2,x,r,z.1,z.2,z.3,z.4,z.5,z.6
1,0.1048695,0.580962,1,0.4692559,0,0,1,0,1,0.580962,1,0.1048695,1,0.4692559,0,0,1,0,1
1,0.1392521,0.4610585,0,0.5396804,1,1,0,1,0,0.4610585,0,0.1392521,1,0.5396804,1,1,0,1,0
0,-0.0736019,0.5434108,1,0.569626,1,0,0,0,0,0.5434108,1,-0.0736019,0,0.569626,1,0,0,0,0
1,0.0868215,0.5845801,1,0.4610585,0,0,1,0,1,0.5845801,1,0.0868215,1,0.4610585,0,0,1,0,1
1,0.3993583,0.5802864,1,0.5748416,1,3,0,3,1,0.5802864,1,0.3993583,1,0.5748416,1,3,0,3,1
1,0.1680772,0.6243524,1,0.6996791,1,4,0,4,0,0.6243524,1,0.1680772,1,0.6996791,1,4,0,4,0
1,0.2515626,0.487293,1,0.5802864,1,5,0,5,0,0.487293,1,0.2515626,1,0.5802864,1,5,0,5,0
1,0.2675027,0.5709645,1,0.5690892,1,2,0,2,0,0.5709645,1,0.2675027,1,0.5690892,1,2,0,2,0
1,0.1527547,0.5955014,1,0.626686,1,3,0,3,0,0.5955014,1,0.1527547,1,0.626686,1,3,0,3,0
1,0.2023913,0.6304118,1,0.5709645,1,4,0,4,0,0.6304118,1,0.2023913,1,0.5709645,1,4,0,4,0
1,0.2378197,0.7418852,1,0.6813068,1,1,0,1,1,0.7418852,1,0.2378197,1,0.6813068,1,1,0,1,1
1,0.4879997,0.7724428,1,0.6172575,1,2,0,2,2,0.7724428,1,0.4879997,1,0.6172575,1,2,0,2,2
1,0.5448855,0.7140294,1,0.7418852,1,3,0,3,0,0.7140294,1,0.5448855,1,0.7418852,1,3,0,3,0
1,0.4858052,0.735451,1,0.6712234,1,6,0,6,0,0.735451,1,0.4858052,1,0.6712234,1,6,0,6,0
1,0.4859995,0.5805223,1,0.7338902,1,7,0,7,0,0.5805223,1,0.4859995,1,0.7338902,1,7,0,7,0
1,0.0329448,0.4917794,0,0.4470814,0,0,1,1,1,0.4917794,0,0.0329448,1,0.4470814,0,0,1,1,1
0,-0.01378,0.4095086,0,0.4451449,0,0,2,0,3,0.4095086,0,-0.01378,0,0.4451449,0,0,2,0,3
0,-0.1809827,0.532891,1,0.49311,0,0,3,0,4,0.532891,1,-0.1809827,0,0.49311,0,0,3,0,4
1,0.065782,0.4987839,0,0.4095086,0,0,4,0,5,0.4987839,0,0.065782,1,0.4095086,0,0,4,0,5
1,0.2653162,0.5621175,1,0.5080225,1,0,0,0,0,0.5621175,1,0.2653162,1,0.5080225,1,0,0,0,0
1,0.1300805,0.5405338,1,0.6326581,1,1,0,2,0,0.5405338,1,0.1300805,1,0.6326581,1,1,0,2,0
1,0.0870581,0.4674368,0,0.5621175,1,1,0,1,0,0.4674368,0,0.0870581,1,0.5621175,1,1,0,1,0
1,0.1981237,0.6506813,1,0.3406127,0,0,0,0,0,0.6506813,1,0.1981237,1,0.3406127,0,0,0,0,0
1,0.3098311,0.6992224,1,0.590234,1,1,0,1,0,0.6992224,1,0.3098311,1,0.590234,1,1,0,1,0
1,0.3984448,0.5337442,1,0.6506813,1,2,0,2,0,0.5337442,1,0.3984448,1,0.6506813,1,2,0,2,0
1,0.0919637,0.6738455,1,0.5576834,1,2,0,2,0,0.6738455,1,0.0919637,1,0.5576834,1,2,0,2,0
1,0.3476909,0.6361817,1,0.5437387,1,3,0,3,0,0.6361817,1,0.3476909,1,0.5437387,1,3,0,3,0
1,0.2723633,0.5970501,1,0.6738455,1,4,0,4,0,0.5970501,1,0.2723633,1,0.6738455,1,4,0,4,0
1,1.129e-4,0.5159084,1,0.5079829,1,7,0,7,1,0.5159084,1,1.129e-4,1,0.5079829,1,7,0,7,1
1,0.0664869,0.6100882,1,0.4255795,1,8,0,8,2,0.6100882,1,0.0664869,1,0.4255795,1,8,0,8,2
1,0.0067007,0.5191929,1,0.411395,0,0,1,0,1,0.5191929,1,0.0067007,1,0.411395,0,0,1,0,1
0,-0.0532753,0.4000038,0,0.4724131,0,0,1,0,1,0.4000038,0,-0.0532753,0,0.4724131,0,0,1,0,1
0,-0.1999924,0.5622256,1,0.4733623,0,0,2,0,2,0.5622256,1,-0.1999924,0,0.4733623,0,0,2,0,2
1,0.1244512,0.5491055,1,0.4000038,0,0,3,1,3,0.5491055,1,0.1244512,1,0.4000038,0,0,3,1,3
1,0.2779323,0.5310924,1,0.5602136,1,3,0,4,0,0.5310924,1,0.2779323,1,0.5602136,1,3,0,4,0
1,0.1160787,0.5399848,1,0.6389661,1,4,0,5,0,0.5399848,1,0.1160787,1,0.6389661,1,4,0,5,0
1,0.1154299,0.5456406,1,0.5310924,1,5,0,6,1,0.5456406,1,0.1154299,1,0.5310924,1,5,0,6,1
1,0.3369878,0.5463182,1,0.5327517,1,8,0,9,0,0.5463182,1,0.3369878,1,0.5327517,1,8,0,9,0
1,0.1118887,0.5813486,1,0.6513992,1,9,0,10,0,0.5813486,1,0.1118887,1,0.6513992,1,9,0,10,0
1,0.1811168,0.4646035,0,0.5463182,1,10,0,11,1,0.4646035,0,0.1811168,1,0.5463182,1,10,0,11,1
1,0.0540735,0.6964567,1,0.4995233,1,1,1,1,2,0.6964567,1,0.0540735,1,0.4995233,1,1,1,1,2
1,0.3929133,0.6649283,1,0.5257633,1,2,0,2,0,0.6649283,1,0.3929133,1,0.5257633,1,2,0,2,0
1,0.3298567,0.5210433,1,0.6964567,1,3,0,3,0,0.5210433,1,0.3298567,1,0.6964567,1,3,0,3,0
1,0.2689801,0.7134922,1,0.6567873,1,2,0,2,0,0.7134922,1,0.2689801,1,0.6567873,1,2,0,2,0
1,0.432752,0.7131965,1,0.63449,1,3,0,3,0,0.7131965,1,0.432752,1,0.63449,1,3,0,3,0
0,-0.1176281,0.420541,0,0.3538033,0,0,1,0,1,0.420541,0,-0.1176281,0,0.3538033,0,0,1,0,1
0,-0.1483352,0.3112736,0,0.3934563,0,0,2,0,2,0.3112736,0,-0.1483352,0,0.3934563,0,0,2,0,2
0,-0.3723379,0.5090555,1,0.4135573,0,0,3,0,3,0.5090555,1,-0.3723379,0,0.4135573,0,0,3,0,3
